name,id,image_path,type1,type2
Abomasnow,460,../dataset-v3\Abomasnow\0.jpg,Grass,Ice
Abomasnow,460,../dataset-v3\Abomasnow\1.jpg,Grass,Ice
Abomasnow,460,../dataset-v3\Abomasnow\2.jpg,Grass,Ice
Abomasnow,460,../dataset-v3\Abomasnow\3.jpg,Grass,Ice
Abra,63,../dataset-v3\Abra\0.jpg,Psychic,
Abra,63,../dataset-v3\Abra\1.jpg,Psychic,
Abra,63,../dataset-v3\Abra\2.jpg,Psychic,
Abra,63,../dataset-v3\Abra\3.jpg,Psychic,
Absol,359,../dataset-v3\Absol\0.jpg,Dark,
Absol,359,../dataset-v3\Absol\1.jpg,Dark,
Absol,359,../dataset-v3\Absol\2.jpg,Dark,
Absol,359,../dataset-v3\Absol\3.jpg,Dark,
Accelgor,617,../dataset-v3\Accelgor\0.jpg,Bug,
Accelgor,617,../dataset-v3\Accelgor\1.jpg,Bug,
Aerodactyl,142,../dataset-v3\Aerodactyl\0.jpg,Rock,Flying
Aerodactyl,142,../dataset-v3\Aerodactyl\1.jpg,Rock,Flying
Aerodactyl,142,../dataset-v3\Aerodactyl\2.jpg,Rock,Flying
Aerodactyl,142,../dataset-v3\Aerodactyl\3.jpg,Rock,Flying
Aerodactyl,142,../dataset-v3\Aerodactyl\4.jpg,Rock,Flying
Aerodactyl,142,../dataset-v3\Aerodactyl\5.jpg,Rock,Flying
Aggron,306,../dataset-v3\Aggron\0.jpg,Steel,Rock
Aggron,306,../dataset-v3\Aggron\1.jpg,Steel,Rock
Aggron,306,../dataset-v3\Aggron\2.jpg,Steel,Rock
Aggron,306,../dataset-v3\Aggron\3.jpg,Steel,Rock
Aipom,190,../dataset-v3\Aipom\0.jpg,Normal,
Aipom,190,../dataset-v3\Aipom\1.jpg,Normal,
Aipom,190,../dataset-v3\Aipom\2.jpg,Normal,
Alakazam,65,../dataset-v3\Alakazam\0.jpg,Psychic,
Alakazam,65,../dataset-v3\Alakazam\1.jpg,Psychic,
Alakazam,65,../dataset-v3\Alakazam\2.jpg,Psychic,
Alakazam,65,../dataset-v3\Alakazam\3.jpg,Psychic,
Alakazam,65,../dataset-v3\Alakazam\4.jpg,Psychic,
Alakazam,65,../dataset-v3\Alakazam\5.jpg,Psychic,
Alomomola,594,../dataset-v3\Alomomola\0.jpg,Water,
Alomomola,594,../dataset-v3\Alomomola\1.jpg,Water,
Altaria,334,../dataset-v3\Altaria\0.jpg,Dragon,Flying
Altaria,334,../dataset-v3\Altaria\1.jpg,Dragon,Flying
Altaria,334,../dataset-v3\Altaria\2.jpg,Dragon,Flying
Altaria,334,../dataset-v3\Altaria\3.jpg,Dragon,Flying
Amaura,698,../dataset-v3\Amaura\0.jpg,Rock,Ice
Amaura,698,../dataset-v3\Amaura\1.jpg,Rock,Ice
Ambipom,424,../dataset-v3\Ambipom\0.jpg,Normal,
Ambipom,424,../dataset-v3\Ambipom\1.jpg,Normal,
Amoonguss,591,../dataset-v3\Amoonguss\0.jpg,Grass,Poison
Amoonguss,591,../dataset-v3\Amoonguss\1.jpg,Grass,Poison
Ampharos,181,../dataset-v3\Ampharos\0.jpg,Electric,
Ampharos,181,../dataset-v3\Ampharos\1.jpg,Electric,
Ampharos,181,../dataset-v3\Ampharos\2.jpg,Electric,
Ampharos,181,../dataset-v3\Ampharos\3.jpg,Electric,
Ampharos,181,../dataset-v3\Ampharos\4.jpg,Electric,
Anorith,347,../dataset-v3\Anorith\0.jpg,Rock,Bug
Anorith,347,../dataset-v3\Anorith\1.jpg,Rock,Bug
Arbok,24,../dataset-v3\Arbok\0.jpg,Poison,
Arbok,24,../dataset-v3\Arbok\1.jpg,Poison,
Arbok,24,../dataset-v3\Arbok\2.jpg,Poison,
Arbok,24,../dataset-v3\Arbok\3.jpg,Poison,
Arcanine,59,../dataset-v3\Arcanine\0.jpg,Fire,
Arcanine,59,../dataset-v3\Arcanine\1.jpg,Fire,
Arcanine,59,../dataset-v3\Arcanine\2.jpg,Fire,
Arcanine,59,../dataset-v3\Arcanine\3.jpg,Fire,
Arceus,493,../dataset-v3\Arceus\0.jpg,Normal,
Arceus,493,../dataset-v3\Arceus\1.jpg,Normal,
Arceus,493,../dataset-v3\Arceus\2.jpg,Normal,
Arceus,493,../dataset-v3\Arceus\3.jpg,Normal,
Arceus,493,../dataset-v3\Arceus\4.jpg,Normal,
Archen,566,../dataset-v3\Archen\0.jpg,Rock,Flying
Archen,566,../dataset-v3\Archen\1.jpg,Rock,Flying
Archeops,567,../dataset-v3\Archeops\0.jpg,Rock,Flying
Archeops,567,../dataset-v3\Archeops\1.jpg,Rock,Flying
Ariados,168,../dataset-v3\Ariados\0.jpg,Bug,Poison
Ariados,168,../dataset-v3\Ariados\1.jpg,Bug,Poison
Ariados,168,../dataset-v3\Ariados\2.jpg,Bug,Poison
Armaldo,348,../dataset-v3\Armaldo\0.jpg,Rock,Bug
Armaldo,348,../dataset-v3\Armaldo\1.jpg,Rock,Bug
Aromatisse,683,../dataset-v3\Aromatisse\0.jpg,Fairy,
Aromatisse,683,../dataset-v3\Aromatisse\1.jpg,Fairy,
Aron,304,../dataset-v3\Aron\0.jpg,Steel,Rock
Aron,304,../dataset-v3\Aron\1.jpg,Steel,Rock
Articuno,144,../dataset-v3\Articuno\0.jpg,Ice,Flying
Articuno,144,../dataset-v3\Articuno\1.jpg,Ice,Flying
Articuno,144,../dataset-v3\Articuno\2.jpg,Ice,Flying
Articuno,144,../dataset-v3\Articuno\3.jpg,Ice,Flying
Articuno,144,../dataset-v3\Articuno\4.jpg,Ice,Flying
Articuno,144,../dataset-v3\Articuno\5.jpg,Ice,Flying
Audino,531,../dataset-v3\Audino\0.jpg,Normal,
Audino,531,../dataset-v3\Audino\1.jpg,Normal,
Audino,531,../dataset-v3\Audino\2.jpg,Normal,
Audino,531,../dataset-v3\Audino\3.jpg,Normal,
Aurorus,699,../dataset-v3\Aurorus\0.jpg,Rock,Ice
Aurorus,699,../dataset-v3\Aurorus\1.jpg,Rock,Ice
Avalugg,713,../dataset-v3\Avalugg\0.jpg,Ice,
Avalugg,713,../dataset-v3\Avalugg\1.jpg,Ice,
Axew,610,../dataset-v3\Axew\0.jpg,Dragon,
Axew,610,../dataset-v3\Axew\1.jpg,Dragon,
Azelf,482,../dataset-v3\Azelf\0.jpg,Psychic,
Azelf,482,../dataset-v3\Azelf\1.jpg,Psychic,
Azumarill,184,../dataset-v3\Azumarill\0.jpg,Water,Fairy
Azumarill,184,../dataset-v3\Azumarill\1.jpg,Water,Fairy
Azumarill,184,../dataset-v3\Azumarill\2.jpg,Water,Fairy
Azurill,298,../dataset-v3\Azurill\0.jpg,Normal,Fairy
